"region_id";"large_gov";"region_lat";"region_long";"small_gov"
125;"충남";"36.815309053318";"127.11391535562203";"천안시"
126;"충남";"36.446676583913415";"127.11902886910906";"공주시"
127;"충남";"36.333437651914686";"126.61277568444764";"보령시"
128;"충남";"36.78998432886481";"127.0026362132919";"아산시"
129;"충남";"36.78494416912295";"126.45033072678626";"서산시"
130;"충남";"36.18726288998989";"127.09890102677448";"논산시"
131;"충남";"36.27433297433396";"127.24879481143529";"계룡시"
132;"충남";"36.89004943046793";"126.6458311844587";"당진시"
133;"충남";"36.108953629434644";"127.48809946910227";"금산군"
134;"충남";"36.27587366844758";"126.9097997267761";"부여군"
135;"충남";"36.080508428155014";"126.69181575560746";"서천군"
136;"충남";"36.45921275103533";"126.80229913629638";"청양군"
137;"충남";"36.60139692460222";"126.66086404027709";"홍성군"
138;"충남";"36.680996948026284";"126.84492216911376";"예산군"
139;"충남";"36.74568974706042";"126.29804736911493";"태안군"
140;"충북";"36.641947774151085";"127.48879866040876";"청주시"
141;"충북";"36.990979949359634";"127.92580437494402";"충주시"
142;"충북";"37.13270182830636";"128.19095852679337";"제천시"
143;"충북";"36.48953328996403";"127.7294508114397";"보은군"
144;"충북";"36.306398683335466";"127.57129156794939";"옥천군"
145;"충북";"36.17501481957917";"127.78343049793898";"영동군"
146;"충북";"36.785376120430115";"127.58148859795115";"증평군"
147;"충북";"36.85473665814587";"127.4357787267877";"진천군"
148;"충북";"36.815403893478205";"127.78668385562197";"괴산군"
149;"충북";"36.94032930662157";"127.69052295562446";"음성군"
150;"충북";"36.984761621738784";"128.36546309795506";"단양군"
151;"전남";"34.81192597617108";"126.39221942674806";"목포시"
152;"전남";"34.76058836430802";"127.66227406907664";"여수시"
153;"전남";"34.950736554870076";"127.48730626631738";"순천시"
154;"전남";"35.01590706944742";"126.71086592154172";"나주시"
155;"전남";"34.940731483697135";"127.69601415234345";"광양시"
156;"전남";"35.321354088815184";"126.98826152675755";"담양군"
157;"전남";"35.28207284153418";"127.29205879589281";"곡성군"
158;"전남";"35.202631481360434";"127.46278852675522";"구례군"
159;"전남";"34.60486951906879";"127.27631116907362";"고흥군"
160;"전남";"34.771470035032955";"127.08010287460873";"보성군"
161;"전남";"35.06459706775497";"126.98661411141191";"화순군"
162;"전남";"34.68165591608098";"126.90706926907511";"장흥군"
163;"전남";"34.64215570224281";"126.76728849790962";"강진군"
